h_booking_id,predicted_selling_amount
-9221607263697497458,54.11811
-9217919187333201744,91.197655
-9209328318584438243,117.970634
-9208823364001929950,259.34055
-9207670017580758036,159.39095
-9207200372803159411,617.0974
-9206569785675213125,36.803707
-9205210164822940078,84.05415
-9195460115585985021,171.14072
-9183166557501017729,36.77397
-9180000557560239950,603.91296
-9162547391520652865,110.44188
-9155284066653500789,646.6843
-9153063459780008701,121.55835
-9153055542434669575,321.58276
-9152743349832272015,222.2791
-9148528972634447112,176.5918
-9132680434888006858,27.470959
-9131161804281079496,387.84116
-9125921980138293351,322.16302
-9122294283942355052,445.22122
-9119704809452945097,237.50017
-9113595277698732434,248.14857
-9107844975718425678,264.0223
-9090600433129515980,29.854437
-9090427005435313176,170.44786
-9089256174473548435,105.29385
-9088782211332093516,173.0485
-9083349385937153792,127.080414
-9078320632554796663,189.94861
-9074217370718546510,16.85636
-9071612794120028198,44.226234
-9065427397384143012,170.84306
-9045467247817454532,110.98533
-9045405279483314521,210.77078
-9042843293239344153,35.988075
-9042159001793857770,146.88036
-9034960387181473991,83.14937
-9031916060462256278,249.53381
-9031535830272333199,252.12688
-9030126909531350646,183.57289
-9027650268451806801,124.72751
-9023651248726892425,388.4424
-9022152893987711437,40.41583
-9022146375452346391,192.52657
-9014304393053809835,1062.7473
-8993817633097420526,61.259445
-8991982192013102275,344.85992
-8990605275559629765,198.8167
-8987127384223575963,20.57705
-8986374520080785448,127.152916
-8983535058854523735,453.503
-8973832590479957912,390.40045
-8970882622260726499,58.652565
-8960011003471148490,93.86422
-8949128604404850577,26.900211
-8948881793732858291,234.46107
-8945430369408810564,64.82265
-8945258696773603626,218.1683
-8943384364882658872,72.975044
-8938317367272336074,52.688496
-8922202566771930796,96.76234
-8918756412279827168,363.63492
-8917304065735255819,59.48282
-8911166377965123369,401.73767
-8909756524965647568,134.63116
-8906653794084381887,152.82668
-8905926861667643475,303.69336
-8905151177611741389,104.72172
-8896529464582329475,65.467125
-8895672540388355740,276.2896
-8893560484035768009,329.9552
-8893443672404032073,264.08762
-8889901207806206804,128.14532
-8887616457300665138,211.64136
-8884971997116552575,162.89072
-8884285913849588903,35.897095
-8877390131135342736,46.110435
-8874463954710287848,65.0278
-8862743167483372683,72.25555
-8860681971719623580,146.5589
-8859269516074356223,352.84442
-8854083814184196681,382.56543
-8848816459734396575,36.10487
-8847168531779230526,247.46461
-8845222412166936204,297.50616
-8833556966234497482,328.7954
-8832726883698963020,585.5363
-8824034743701168736,58.69818
-8821599267612933925,612.8572
-8821509440073243339,407.57117
-8816165142664436486,413.32486
-8814209721206296480,250.7151
-8807519122870311402,95.93314
-8798277713314641409,45.056553
-8785558724648533865,47.895287
-8773063039338229576,483.00238
-8752798165686216451,147.39455
-8746278596052964980,17.85167
-8738449595399532770,142.80107
-8724270774092400992,361.8923
-8718158070041230107,85.48042
-8716448497143532575,322.4064
-8713736175773933497,62.463562
-8713551160052299221,170.11237
-8712944670839426236,1679.5547
-8702441499053876462,445.78806
-8697905031145699722,240.94986
-8695813222607573061,315.89755
-8695677714844307606,188.84622
-8664477589914002148,249.58817
-8658976031835048140,74.84158
-8657573759931699416,129.73682
-8650801271293136409,72.975044
-8648816254332180980,298.9823
-8633944585805533979,169.48201
-8630900901866423065,232.81596
-8624721009254036875,32.563866
-8621000823580153564,32.352287
-8609210393075164250,169.16052
-8608269762505405431,63.86205
-8601011294870986744,29.20158
-8600972532519536107,36.903717
-8600834425832042773,140.28654
-8600542412220559147,272.29584
-8595291440037352153,281.87198
-8581085307337699721,409.11963
-8577360145205227998,37.410854
-8572209132030099608,42.183285
-8569222321093204879,493.92007
-8565150658162091993,166.76631
-8564592163543527002,31.059353
-8559581712938321687,90.84906
-8549412295758592199,115.31791
-8537109146995493545,192.59114
-8532057866448444827,18.201057
-8524255797029435968,64.918724
-8520865036138471935,112.70078
-8518379604078328934,268.23117
-8517458680192491306,394.57553
-8515795212629993729,113.4452
-8515614270580799760,240.3891
-8515338758262301555,308.84818
-8506504537120915148,307.8455
